author,text,publishedAt,likes,clean_text,sentiment,published_at
@medvedww5930,"пусть радуется что не сожгли на костре, хотя было бы сдорово",2025-04-05T18:24:07Z,0,пусть радуется что не сожгли на костре хотя было бы сдорово,NEUTRAL,2024-04-12
@КираСимерова,"Если б с той лодки на реке Блиновская случайно упала, ее бы никто не полез спасать😂😂😂думаю Елена настолько глупа, что из-за страха разговора с Ксенией она просто впадала в ступор, хотела осторожничать, но ее мерзкая суть все сочилась и сочилась, я не понимаю как на такого человека можно идти и верить в эту чушь. 
Ждём ее 50 лет где она будет марафонить в психбольнице.
А эта сцена где пришла женщина с букетом, а Блиновская продолжает есть и плакать😂😂😂сумасшедший дом.",2025-04-05T07:03:57Z,1,"если б с той лодки на реке блиновская случайно упала ее бы никто не полез спасатьдумаю елена настолько глупа что изза страха разговора с ксенией она просто впадала в ступор хотела осторожничать но ее мерзкая суть все сочилась и сочилась я не понимаю как на такого человека можно идти и верить в эту чушь 
ждём ее  лет где она будет марафонить в психбольнице
а эта сцена где пришла женщина с букетом а блиновская продолжает есть и плакатьсумасшедший дом",NEUTRAL,2024-04-13
@madinarasul2948,"Ксения это вершина журналистики. Обожаю её. Непонимаю как можно её не любить? Можно не любить но уважать её за её ум интеллект, воспитание. Умница",2025-04-04T20:20:25Z,2,ксения это вершина журналистики обожаю её непонимаю как можно её не любить можно не любить но уважать её за её ум интеллект воспитание умница,POSITIVE,2024-04-28
@АнжеликаГончарук,"Ксюша молодец ,открыла ее машейничество ,лена в глаза не смотрит потому что врет нагло",2025-04-04T16:16:38Z,2,ксюша молодец открыла ее машейничество лена в глаза не смотрит потому что врет нагло,NEUTRAL,2024-04-05
@ElenaMarszallek-k5c,Акционерское общество (АО) «МММ»,2025-04-03T18:58:09Z,0,акционерское общество ао ммм,NEUTRAL,2024-04-23
@Halabalooza,"Такое ощущение, что у нее голова от другого тела😂",2025-04-03T13:26:09Z,1,такое ощущение что у нее голова от другого тела,NEGATIVE,2024-04-05
@netprness,"не нравится собчак как политик и в других амплуа, но как журналист - вызывает восхищение. люблю её именно за филигранную журналистскую деятельность, в этом она лучшая",2025-04-03T12:59:36Z,3,не нравится собчак как политик и в других амплуа но как журналист  вызывает восхищение люблю её именно за филигранную журналистскую деятельность в этом она лучшая,POSITIVE,2024-04-18
@ystavallinenpollo,"Какое-то бессмысленное интервью, даже жалко эту Блиновскую. Ей как будто нечего сказать конкретно на целых полтора часа интервью, и вот она сидит страдает, а Собчак все пытается ее тянуть и что-то из нее получить",2025-04-03T12:47:05Z,0,какоето бессмысленное интервью даже жалко эту блиновскую ей как будто нечего сказать конкретно на целых полтора часа интервью и вот она сидит страдает а собчак все пытается ее тянуть и чтото из нее получить,NEGATIVE,2024-04-04
@АлисаСелезнёва-к5щ,"А почему Блин,рафтеры не скинули в реку,за такие слова за них.",2025-04-03T12:07:21Z,2,а почему блинрафтеры не скинули в рекуза такие слова за них,NEGATIVE,2024-04-04
@kristosaev5557,10 дипломов 😂разговаривает матом хабалка,2025-04-03T09:57:40Z,2, дипломов разговаривает матом хабалка,NEGATIVE,2024-04-22
@BogdanoffTime,Мерзость конечно она,2025-04-03T02:18:12Z,0,мерзость конечно она,NEGATIVE,2024-04-16
@wild_anzhela,Очень много эго,2025-04-02T21:54:59Z,0,очень много эго,NEUTRAL,2024-04-14
@hammer4124,"Смотрю это в 25 году, после того как с ней уже все произошло, скажу одно она пздц как зазвездилась, деньги оч портят не подготовленных людей",2025-04-02T21:20:49Z,3,смотрю это в  году после того как с ней уже все произошло скажу одно она пздц как зазвездилась деньги оч портят не подготовленных людей,NEGATIVE,2024-04-19
@sertys2539,Мрази.....на,2025-04-02T08:25:53Z,0,мразина,NEGATIVE,2024-04-07
@kristina0907,33:46 лучшая😂😂,2025-04-02T07:23:46Z,0, лучшая,POSITIVE,2024-04-04
@НатальяДемиденко-б5ы,"Решила пересмотреть, до интервью вобще не знала про её существование.как же она омерзительна,  вот ни копейки ей не перевела , отталкивающая просто",2025-04-02T06:08:44Z,1,решила пересмотреть до интервью вобще не знала про её существованиекак же она омерзительна  вот ни копейки ей не перевела  отталкивающая просто,NEGATIVE,2024-04-10
@КаналЮтуба,Ксения переиграла и уничтожила😅,2025-04-01T19:27:28Z,1,ксения переиграла и уничтожила,NEUTRAL,2024-04-13
@АйгульГалидуллина-п4о,Пишу за сегодня уже второй комментарий. Всегда восхищалась Собчак. А после этого интервью вообще полюбила. Супер. Молодец. Ксюша вперёд.,2025-04-01T09:45:00Z,0,пишу за сегодня уже второй комментарий всегда восхищалась собчак а после этого интервью вообще полюбила супер молодец ксюша вперёд,POSITIVE,2024-04-18
@АйгульГалидуллина-п4о,Ужасная Блиновская.,2025-04-01T09:24:53Z,1,ужасная блиновская,NEGATIVE,2024-04-15
@P.A-y4h,мужика они хотят😂😂😂,2025-03-31T20:00:02Z,0,мужика они хотят,NEGATIVE,2024-04-08
@P.A-y4h,про образования меня тоже напрягает вопрос. Вон и без образования можно заработать,2025-03-31T19:49:40Z,1,про образования меня тоже напрягает вопрос вон и без образования можно заработать,NEUTRAL,2024-04-18
@ЭлинаСеверова,"Ну и овца,по делом получила,корона выше небес все грязь а она королева",2025-03-31T19:46:11Z,2,ну и овцапо делом получилакорона выше небес все грязь а она королева,NEGATIVE,2024-04-21
@Mester-972,Как же она себя сама закопала )),2025-03-31T19:44:28Z,0,как же она себя сама закопала ,NEUTRAL,2024-05-01
@дариякуттыбай-л2к,Сама себя закопала,2025-03-31T19:25:46Z,1,сама себя закопала,NEUTRAL,2024-04-17
@izzatillohrahimov2825,"Почему то мне кажется она прям тупая аферистка.
Как люди верят и следят за ней?",2025-03-31T16:06:44Z,3,"почему то мне кажется она прям тупая аферистка
как люди верят и следят за ней",NEGATIVE,2024-04-06
@mensongibson,"Ректификация — разделение жидких смесей на практически чистые компоненты, различающиеся температурами кипения, путём многократного частичного испарения жидкости ...",2025-03-31T14:30:06Z,4,ректификация  разделение жидких смесей на практически чистые компоненты различающиеся температурами кипения путём многократного частичного испарения жидкости ,NEUTRAL,2024-04-07
@evacuator0303,"Это тот момент когда зауважал Собчак, хотя был всегда против ее и негативно настроен😂",2025-03-31T14:10:48Z,1,это тот момент когда зауважал собчак хотя был всегда против ее и негативно настроен,NEUTRAL,2024-04-22
@EvgeneYakovlev,СЕйчас марафон желаний начался у начальника колонии,2025-03-31T11:59:38Z,1,сейчас марафон желаний начался у начальника колонии,NEUTRAL,2024-04-01
@ЮраНонэйм,"Зашел в 31.03.2025 и понял, отлично что Ковалёв посадил эту идиотку",2025-03-31T09:58:03Z,0,зашел в  и понял отлично что ковалёв посадил эту идиотку,POSITIVE,2024-04-11
@Emmima78,"Бедная психически нестабильная личность , которую получил Господь",2025-03-31T06:44:50Z,0,бедная психически нестабильная личность  которую получил господь,NEGATIVE,2024-04-03
@annakirilenko3509,Прям завралась Блиновская,2025-03-30T11:46:22Z,1,прям завралась блиновская,NEUTRAL,2024-04-26
@Florawww,Такая стерва 😅,2025-03-30T09:48:50Z,1,такая стерва ,NEGATIVE,2024-04-19
@RR-lw4wx,"""А сейчас ответьте, о чём думаете?""
""Я думаю о стене""
""Ни о чём, правда? Вот в этом и фишка. Пустая голова""",2025-03-30T05:26:47Z,0,"а сейчас ответьте о чём думаете
я думаю о стене
ни о чём правда вот в этом и фишка пустая голова",NEGATIVE,2024-04-05
@RR-lw4wx,Маленькая вселенная уместилась в маленькую камеру лол,2025-03-30T05:19:32Z,0,маленькая вселенная уместилась в маленькую камеру лол,NEUTRAL,2024-04-05
@TheJukate,"Чёт не верится что такая тупая баба, не умеющая выражать свои мысли, могла создать схему по отьему денег… больше похоже, что ее использовали для отмывания бабла и скинули, когда стала не нужна",2025-03-29T23:02:34Z,2,чёт не верится что такая тупая баба не умеющая выражать свои мысли могла создать схему по отьему денег больше похоже что ее использовали для отмывания бабла и скинули когда стала не нужна,NEGATIVE,2024-04-14
@АннельИшкуллаева,Очень наглая и самоуверенная особа,2025-03-29T20:15:39Z,2,очень наглая и самоуверенная особа,NEGATIVE,2024-04-06
@angelok7902,«Одень шапочку» - это в МГИМО так учат?,2025-03-29T17:29:50Z,1,одень шапочку  это в мгимо так учат,NEUTRAL,2024-04-15
@ЭльвираКиселева-ы3щ,Жри сама из пятерочки!!!) 😂,2025-03-29T16:48:25Z,0,жри сама из пятерочки ,NEGATIVE,2024-04-15
@ЗараБаутова,Как про раскулачивание в точку,2025-03-29T09:33:42Z,0,как про раскулачивание в точку,NEUTRAL,2024-04-09
@МадинаЮсупова-ц8к,Это просто ржака 🤣 Спасибо за настроение,2025-03-29T06:51:00Z,1,это просто ржака  спасибо за настроение,POSITIVE,2024-04-04
@ketiD75,Как ее мимика похожа на мимику Бузовой😮,2025-03-29T05:05:31Z,1,как ее мимика похожа на мимику бузовой,NEUTRAL,2024-04-18
@ЛюдмилаМиракова,"Ксения, гениальный журналист и с этим не поспоришь. 
Блиновская двух слов связать не может, сплошная агрессия, очень неприятная женщина!",2025-03-28T22:30:40Z,2,"ксения гениальный журналист и с этим не поспоришь 
блиновская двух слов связать не может сплошная агрессия очень неприятная женщина",NEUTRAL,2024-04-05
@ketiD75,6 минут и так скучно...,2025-03-28T19:24:57Z,0, минут и так скучно,NEGATIVE,2024-04-02
@ЛарисаБузмакова-ф7н,"Непродумала, Елена! Хвастаться не надо.",2025-03-27T13:41:40Z,1,непродумала елена хвастаться не надо,NEUTRAL,2024-04-07
@НиколайКушнир-й8й,"Кто бы что бы не говорил, Ксюша очень умная и образованная женщина!",2025-03-27T07:13:14Z,1,кто бы что бы не говорил ксюша очень умная и образованная женщина,NEUTRAL,2024-04-09
@Наталия-ж7д4э,"Справка, прям справка 😂😂😂😂😂",2025-03-26T19:11:15Z,1,справка прям справка ,POSITIVE,2024-04-30
@ИринаЛеонова-б6з,2025 г. Решила пересмотреть это интервью. Ксения супер! Цыганка в тюрьме.,2025-03-26T15:56:19Z,3, г решила пересмотреть это интервью ксения супер цыганка в тюрьме,NEUTRAL,2024-04-18
@ТатьянаСоколовская-о7д,Допизделась ублюдина какая же она мерзкая баба до невозможности,2025-03-26T06:10:53Z,4,допизделась ублюдина какая же она мерзкая баба до невозможности,NEGATIVE,2024-04-22
@Ko-jx5ww,"Так интересно смотреть старое интервью, когда сейчас она сидит. Такая высокомерная, такая напыщенная, ""на миллион в месяц жить - это прям очень бедно"" - говорит. 
Никогда не зарекайся и всегда будь человеком, как говорится)",2025-03-26T05:33:12Z,3,"так интересно смотреть старое интервью когда сейчас она сидит такая высокомерная такая напыщенная на миллион в месяц жить  это прям очень бедно  говорит 
никогда не зарекайся и всегда будь человеком как говорится",NEGATIVE,2024-04-09
@BAKHYTGUL-ry8zz,"Я к ней, как к психологу никогда не пошла бы даже бесплатно",2025-03-26T05:00:32Z,2,я к ней как к психологу никогда не пошла бы даже бесплатно,NEUTRAL,2024-04-14
@provo-j7z,Кто из 2025 после ВСЕГО ??,2025-03-25T21:34:29Z,1,кто из  после всего ,NEUTRAL,2024-04-27
@provo-j7z,Кто из 2025 после ВСЕГО ??,2025-03-25T21:33:27Z,3,кто из  после всего ,NEUTRAL,2024-04-01
@heymet9019,хамка и жулик.,2025-03-25T15:52:54Z,1,хамка и жулик,NEGATIVE,2024-04-23
@РоманРимский-и4ф,Скольео вы бы быТло не кидали грязь в сторону Основаиелтницы М.Ж. грязь все ровно останеться на ваших лапах. В нее не попала не крупицы.,2025-03-25T12:15:09Z,0,скольео вы бы бытло не кидали грязь в сторону основаиелтницы мж грязь все ровно останеться на ваших лапах в нее не попала не крупицы,NEGATIVE,2024-04-25
@РоманРимский-и4ф,Смотрела интервью в основном недалекое БыТло.,2025-03-25T12:13:47Z,1,смотрела интервью в основном недалекое бытло,NEUTRAL,2024-04-01
@РоманРимский-и4ф,"Жалкие мещане поносят Блиновскую. Псевдоинтеллигенция  . А Собчак дешевый провакатор. И согласится на интераью с нею, ниже ....",2025-03-25T12:08:55Z,0,жалкие мещане поносят блиновскую псевдоинтеллигенция   а собчак дешевый провакатор и согласится на интераью с нею ниже ,NEGATIVE,2024-04-17
@VostokEast,"Кто смотрит в 2025? Пожелаем тёте вечер в хату, часик в радость😂",2025-03-25T06:01:34Z,1,кто смотрит в  пожелаем тёте вечер в хату часик в радость,NEUTRAL,2024-04-04
@ИринаСанько-ж6и,Собчак всегда берет последнее интервью,2025-03-24T22:49:12Z,4,собчак всегда берет последнее интервью,NEUTRAL,2024-04-29
@IRINA..-NIK,"За что она сидит,сейчас?",2025-03-24T19:50:38Z,0,за что она сидитсейчас,NEUTRAL,2024-04-18
@АннаОстапук-я6п,"Какой сюр, с подставной женщиной",2025-03-24T08:07:43Z,0,какой сюр с подставной женщиной,NEUTRAL,2024-04-12
@Виктория-у6у7в,Ксения Анатольевна один из лучших интервьюеров. У нее мышление молниеносно работает.,2025-03-24T06:40:47Z,1,ксения анатольевна один из лучших интервьюеров у нее мышление молниеносно работает,POSITIVE,2024-04-24
@Виктория-у6у7в,"1:31 ""для меня деньги неважное"",  вот вселенная и услышала",2025-03-24T06:34:34Z,2, для меня деньги неважное  вот вселенная и услышала,NEUTRAL,2024-04-27
@ЯковСилин-щ3х,В пятерочке во время короноБесия больше всех лютовали за маски . Собчак своих рекламирует,2025-03-24T04:03:04Z,0,в пятерочке во время коронобесия больше всех лютовали за маски  собчак своих рекламирует,NEUTRAL,2024-04-09
